Variant,AUC,ACC,RMSE
Full Model,0.7465401449589251,0.7330339907679395,0.4547696108315934
w/o attention,0.7462899168744923,0.7295845572807386,0.4572506595983581
w/o query,0.7412459781898864,0.7208644565673521,0.45660454797491756
w/o consistency,0.7459031383202326,0.731875786823332,0.45505298397976335
