Model,ASSIST2009 AUC,ASSIST2009 ACC,ASSIST2012 AUC,ASSIST2012 ACC,KDDCup AUC,KDDCup ACC
DIRT_1,,,,,,
DIRT_2,,,,,,
DIRT_3,,,,,,
DIRT_4,,,,,,
TIDE_1,,,,,,
TIDE_2,,,,,,
TIDE_3,,,,,,
TIDE_4,,,,,,
